"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"7111","Dayton School of Medical Massage-Lima","OH","Accrediting Commission of Career Schools and Colleges",0,"NULL","NULL","NULL","NULL","NULL","NULL","15595","NULL","NULL","NULL","NULL","NULL","0.4562607204","50100.878947","9500","29.683544304","0.8326300985","0.0365682138","28243.101266","NULL"
"7112","Cincinnati School of Medical Massage","OH","Accrediting Commission of Career Schools and Colleges",0,"NULL","NULL","NULL","NULL","NULL","NULL","15595","NULL","NULL","NULL","NULL","NULL","0.4562607204","50100.878947","9500","29.683544304","0.8326300985","0.0365682138","28243.101266","NULL"
"7113","Cleveland Institute of Medical Massage","OH","Accrediting Commission of Career Schools and Colleges",0,"NULL","NULL","NULL","NULL","NULL","NULL","15595","NULL","NULL","NULL","NULL","NULL","0.4562607204","50100.878947","9500","29.683544304","0.8326300985","0.0365682138","28243.101266","NULL"
"7114","CCI Training Center","TX","Accrediting Council for Continuing Education & Training",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4684210526","38963.55","8313","32.193277311","0.6008403361","PrivacySuppressed","23190.743697","NULL"
"7115","Strayer University-Huntsville Campus","AL","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7116","Rasmussen College-Appleton","WI","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","9360","NULL","NULL","NULL","NULL","NULL","0.5242572169","57226.458776","9774","30.679785605","0.814446146","0.0124042879","35850.098826","NULL"
"7117","Rasmussen College-Wausau","WI","Higher Learning Commission",0,"NULL","NULL","NULL","NULL","NULL","NULL","9360","NULL","NULL","NULL","NULL","NULL","0.5242572169","57226.458776","9774","30.679785605","0.814446146","0.0124042879","35850.098826","NULL"
"7118","Academy of Hair Design - Austin","TX","National Accrediting Commission of Career Arts and Sciences",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5393700787","42216.826531","7917","26.823728814","0.6","PrivacySuppressed","27502.579661","NULL"
"7119","Strayer University-North Charlotte","NC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7120","Strayer University-South Charlotte","NC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
